case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,2.0,1.0,0.0016063571536944318
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,3.0,1.0,0.0007149901380670611
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,5.0,1.0,0.00022379001668942499
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,0.5,1.0,0.011250189652556516
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,0.75,1.0,0.00636094674556213
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,1.0,1.0,0.004544075254134426
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,1.5,1.0,0.0027177211348808983
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,2.0,1.0,0.0017903201335153999
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,3.0,1.0,0.0008496434531937491
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR local,scientific_controlled,5.0,1.0,0.00027309968138370506
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,0.5,1.0,0.011236913973600365
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,0.75,1.0,0.006338188438780154
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,1.0,1.0,0.004314595660749507
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,1.5,1.0,0.002465483234714004
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,2.0,1.0,0.0014717038385677439
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,3.0,1.0,0.0006220603853739949
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Corrected JDL physical,scientific_controlled,5.0,1.0,0.00016310119860415718
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,0.5,1.0,0.011221741769079047
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,0.75,1.0,0.006321119708693673
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,1.0,1.0,0.004458731603702018
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,1.5,1.0,0.0026418601122743133
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,2.0,1.0,0.0016992869063874982
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,3.0,1.0,0.0007718859050219997
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,MNEC physical,scientific_controlled,5.0,1.0,0.00025034137460172963
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,SA-MNEC physical [approximate academic reference],scientific_controlled,0.5,1.0,0.011183811257775754
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,SA-MNEC physical [approximate academic reference],scientific_controlled,0.75,1.0,0.006317326657563344
