split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_015,target_off,J5_Selective_Physics_Calibration,measured,0.010753744452662722,5583,34,34,519168,1e-06,dynamic,
test_v3,test_v3_015,target_on,J5_Selective_Physics_Calibration,measured,0.010753744452662722,5583,34,34,519168,1e-06,dynamic,
test_v3,test_v3_015,target_off,J6_Joint_Phase_Surface,measured,0.010774932199211046,5594,38,38,519168,1e-06,dynamic,
test_v3,test_v3_015,target_on,J6_Joint_Phase_Surface,measured,0.010774932199211046,5594,37,37,519168,1e-06,dynamic,
test_v3,test_v3_015,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.010823086168639053,5619,34,34,519168,1e-06,dynamic,
test_v3,test_v3_015,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.010813455374753452,5614,34,34,519168,1e-06,dynamic,
test_v3,test_v3_015,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.010823086168639053,5619,34,34,519168,1e-06,dynamic,0.0
test_v3,test_v3_015,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.010813455374753452,5614,34,34,519168,1e-06,dynamic,0.0
test_v3,test_v3_016,target_off,J0_Current,measured,0.004482171474358974,2327,72,72,519168,1e-06,dynamic,
test_v3,test_v3_016,target_on,J0_Current,measured,0.004711384368836292,2446,80,80,519168,1e-06,dynamic,
test_v3,test_v3_016,target_off,J5_Selective_Physics_Calibration,measured,0.004482171474358974,2327,72,72,519168,1e-06,dynamic,
test_v3,test_v3_016,target_on,J5_Selective_Physics_Calibration,measured,0.004711384368836292,2446,80,80,519168,1e-06,dynamic,
test_v3,test_v3_016,target_off,J6_Joint_Phase_Surface,measured,0.004482171474358974,2327,72,72,519168,1e-06,dynamic,
test_v3,test_v3_016,target_on,J6_Joint_Phase_Surface,measured,0.004711384368836292,2446,80,80,519168,1e-06,dynamic,
test_v3,test_v3_016,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.004482171474358974,2327,72,72,519168,1e-06,dynamic,
test_v3,test_v3_016,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.004711384368836292,2446,80,80,519168,1e-06,dynamic,
test_v3,test_v3_016,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.004482171474358974,2327,72,72,519168,1e-06,dynamic,0.0
test_v3,test_v3_016,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.004711384368836292,2446,80,80,519168,1e-06,dynamic,0.0
test_v3,test_v3_017,target_off,J0_Current,measured,0.006493081237672584,3371,100,100,519168,1e-06,dynamic,
test_v3,test_v3_017,target_on,J0_Current,measured,0.00652967825443787,3390,100,100,519168,1e-06,dynamic,
test_v3,test_v3_017,target_off,J5_Selective_Physics_Calibration,measured,0.0066452477810650884,3450,115,115,519168,1e-06,dynamic,
test_v3,test_v3_017,target_on,J5_Selective_Physics_Calibration,measured,0.006677992480276134,3467,115,115,519168,1e-06,dynamic,
test_v3,test_v3_017,target_off,J6_Joint_Phase_Surface,measured,0.006606724605522683,3430,113,113,519168,1e-06,dynamic,
test_v3,test_v3_017,target_on,J6_Joint_Phase_Surface,measured,0.006647173939842209,3451,113,113,519168,1e-06,dynamic,
test_v3,test_v3_017,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.006493081237672584,3371,100,100,519168,1e-06,dynamic,
test_v3,test_v3_017,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.00652967825443787,3390,100,100,519168,1e-06,dynamic,
test_v3,test_v3_017,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.006493081237672584,3371,100,100,519168,1e-06,dynamic,0.0
test_v3,test_v3_017,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.00652967825443787,3390,100,100,519168,1e-06,dynamic,0.0
test_v3,test_v3_018,target_off,J0_Current,measured,0.007831761587771203,4066,132,132,519168,1e-06,dynamic,
test_v3,test_v3_018,target_on,J0_Current,measured,0.007781681459566075,4040,131,131,519168,1e-06,dynamic,
test_v3,test_v3_018,target_off,J5_Selective_Physics_Calibration,measured,0.007835613905325443,4068,132,132,519168,1e-06,dynamic,
test_v3,test_v3_018,target_on,J5_Selective_Physics_Calibration,measured,0.007787459935897436,4043,131,131,519168,1e-06,dynamic,
test_v3,test_v3_018,target_off,J6_Joint_Phase_Surface,measured,0.008016672830374754,4162,144,144,519168,1e-06,dynamic,
test_v3,test_v3_018,target_on,J6_Joint_Phase_Surface,measured,0.008026303624260355,4167,144,144,519168,1e-06,dynamic,
test_v3,test_v3_018,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.008016672830374754,4162,144,144,519168,1e-06,dynamic,
test_v3,test_v3_018,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.008026303624260355,4167,144,144,519168,1e-06,dynamic,
