scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p12__snr_p30__delay_m1ns,base,101,-1.0,12.0,30.0,level2,D2_weighted_LS,ok,0.09555661996197672,-1.0,1.0955566199619766,0.0001338869915343821,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m1ns,base,101,-1.0,12.0,30.0,level2,D3_Huber_weighted_LS,ok,0.08113085891771028,-1.0,1.0811308589177102,0.0012695780023932457,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m1ns,base,101,-1.0,12.0,30.0,level2,cross_correlation,ok,-0.2566272341463842,-1.0,0.7433727658536158,1.3759874500101432,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m1ns,base,101,-1.0,12.0,30.0,level2,gcc_phat,ok,-0.11137507845594549,-1.0,0.8886249215440545,1.7028741009999067,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p2ns,base,101,2.0,12.0,30.0,level2,D1_ordinary_LS,ok,1.7105058733975447,2.0,-0.2894941266024553,0.001992403995245695,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p2ns,base,101,2.0,12.0,30.0,level2,D2_weighted_LS,ok,1.7279997384835428,2.0,-0.2720002615164572,0.0002010769967455417,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p2ns,base,101,2.0,12.0,30.0,level2,D3_Huber_weighted_LS,ok,1.7166844941142378,2.0,-0.28331550588576215,0.0027997170109301805,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p2ns,base,101,2.0,12.0,30.0,level2,cross_correlation,ok,0.4583676392380304,2.0,-1.5416323607619695,1.4367243490123656,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p2ns,base,101,2.0,12.0,30.0,level2,gcc_phat,ok,0.08890856969654572,2.0,-1.9110914303034543,1.8145908039878123,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m2ns,base,101,-2.0,12.0,30.0,level2,D1_ordinary_LS,ok,0.10979095974564741,-2.0,2.1097909597456472,0.00027133800904266536,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m2ns,base,101,-2.0,12.0,30.0,level2,D2_weighted_LS,ok,0.10931993513096394,-2.0,2.109319935130964,0.00014233900583349168,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m2ns,base,101,-2.0,12.0,30.0,level2,D3_Huber_weighted_LS,ok,0.10230710433891471,-2.0,2.1023071043389145,0.0013578070211224258,,,,,,,,,,,,,,,,,
