method,dimension,level,count,mean,median,p05,p10,p90,min,cvar5,fraction_lt_neg_0_1,fraction_lt_neg_0_5,fraction_lt_neg_1_0
J5_Selective_Physics_Calibration,rho,0.52,1,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.57,1,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.59,2,-6.611273064516254e-05,-6.611273064516254e-05,-0.00012561418822580882,-0.00011900291516129258,-1.3222546129032505e-05,-0.00013222546129032509,-0.00013222546129032509,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.63,1,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.69,1,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.71,1,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.76,1,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.77,1,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.78,2,0.29276610096072986,0.29276610096072986,0.029276610096072988,0.058553220192145976,0.5269789817293138,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.79,2,-0.3158301169775952,-0.3158301169775952,-0.6007674473108393,-0.5691077439404789,-0.06255249001471154,-0.6324271506811998,-0.6324271506811998,0.5,0.5,0.0
